Location,Company Name,Average Salary in State,Average Salary in Country
Hyderabad,Qwerty Concepts,5081882.0,770654.1086
Hyderabad,SetuServ,4949704.0,770654.1086
Hyderabad,XYZ (Turkey),3000000.0,770654.1086
Hyderabad,ABCDEF,2745265.5,770654.1086
Hyderabad,MarketLinc,2658491.0,770654.1086
Mumbai,Rahul Industries,6044006.0,770654.1086
Mumbai,NVIDIA,4187500.0,770654.1086
Mumbai,VINAYA KUMAR,4029337.0,770654.1086
Mumbai,Goldman Sachs,3977066.0,770654.1086
Mumbai,Zee Entertainment Enterprises Ltd.,3531413.0,770654.1086
New Delhi,Super Highway Labs,3665141.0,770654.1086
New Delhi,Greenlight Planet,2876666.0,770654.1086
New Delhi,Boston Scientific,2707106.0,770654.1086
New Delhi,DreamOrbit Softech,2612697.0,770654.1086
New Delhi,OLX Group,2606510.0,770654.1086
Pune,Atos,5273205.0,770654.1086
Pune,Volkswagen,5184922.0,770654.1086
Pune,RAKESH GROUP,5016304.0,770654.1086
Pune,The City Bank,5000000.0,770654.1086
Pune,DasDas,4466071.0,770654.1086
