School,Street
Alameda County Community,313 West Winton Avenue
California School for the Deaf-Fremont,39350 Gallaudet Drive
Alameda High,2201 Encinal Avenue
Encinal High,210 Central Avenue
Island High (Continuation),1900 Third Street
Albany High,603 Key Route Boulevard
Ocean View Elementary,1000 Jackson Street
Berkeley High,1980 Allston Way
Castro Valley High,19400 Santa Maria Avenue
Independent Elementary,21201 Independent School Road
American High,36300 Fremont Boulevard
Robertson High (Continuation),4455 Seneca Park Avenue
Irvington High,41800 Blacow Road
John F. Kennedy High,39999 Blacow Road
Washington High,38442 Fremont Boulevard
Brier Elementary,39201 Sundale Drive
J. Haley Durham Elementary,40292 Leslie Street
Parkmont Elementary,2601 Parkside Drive
Brookvale Elementary,3400 Nicolet Avenue
Fred E. Weibel Elementary,45135 South Grimmer Boulevard
Brenkwitz High,22100 Princeton Street
Hayward High,1633 East Avenue
Mt. Eden High,2300 Panama Street
Tennyson High,27035 Whitman Road
Del Valle Continuation High,2253 Fifth Street
Granada High,400 Wall Street
Livermore High,600 Maple Street
Newark Memorial High,39375 Cedar Boulevard
Core Learning Academy at Conley-Caraballo High,541 Blanche Street
James Logan High,1800 H Street
Civicorps Corpsmember Academy,101 Myrtle Street
Oakland International High,4521 Webster Street
Ralph J. Bunche High,1240 18th Street
Gateway to College at Laney College,900 Fallon Street
Castlemont High,8601 MacArthur Boulevard
Fremont High,4610 Foothill Boulevard
Rudsdale Continuation,8251 Fontaine Street
Dewey Academy,1111 2nd Avenue
Oakland High,1023 MacArthur Boulevard
Oakland Technical High,4351 Broadway
Skyline High,12250 Skyline Boulevard
"Independent Study, Sojourner Truth",8251 Fontaine Street
Piedmont High,800 Magnolia Avenue
San Leandro High,2200 Bancroft Avenue
Arroyo High,15701 Lorenzo Avenue
San Lorenzo High,50 East Lewelling Boulevard
Dublin High,8151 Village Parkway
James Dougherty Elementary,5301 Hibernia Drive
Foothill High,4375 Foothill Road
Amador Valley High,1155 Santa Rita Road
Butte County Special Education,1859 Bird Street
Fair View High (Continuation),290 East Avenue
Chico High,901 Esplanade
Pleasant Valley High,1475 East Avenue
Las Plumas High,2380 Las Plumas Avenue
Oroville High,1535 Bridge Street
