Location,Company Name,Average Salary in State,Average Salary in Country
Hyderabad,Qwerty Concepts,5081882.0,766041.54
Hyderabad,SetuServ,4949704.0,766041.54
Hyderabad,XYZ (Turkey),3000000.0,766041.54
Hyderabad,ABCDEF,2745265.5,766041.54
Hyderabad,MarketLinc,2658491.0,766041.54
Mumbai,Rahul Industries,6044006.0,766041.54
Mumbai,NVIDIA,4187500.0,766041.54
Mumbai,VINAYA KUMAR,4029337.0,766041.54
Mumbai,Goldman Sachs,3977066.0,766041.54
Mumbai,Zee Entertainment Enterprises Ltd.,3531413.0,766041.54
New Delhi,Super Highway Labs,3665141.0,766041.54
New Delhi,Greenlight Planet,2876666.0,766041.54
New Delhi,Boston Scientific,2707106.0,766041.54
New Delhi,DreamOrbit Softech,2612697.0,766041.54
New Delhi,OLX Group,2606510.0,766041.54
Pune,Atos,5273205.0,766041.54
Pune,Volkswagen,5184922.0,766041.54
Pune,RAKESH GROUP,5016304.0,766041.54
Pune,The City Bank,5000000.0,766041.54
Pune,DasDas,4466071.0,766041.54
